iter	Passed	Remaining
0	142	284269
1	144	144751
2	147	98144
3	149	74710
4	151	60626
5	154	51377
6	156	44668
7	159	39629
8	161	35730
9	163	32609
10	166	30090
11	168	27933
12	171	26151
13	173	24622
14	176	23315
15	178	22148
16	181	21119
17	183	20193
18	185	19379
19	188	18645
20	190	17989
21	193	17392
22	195	16838
23	198	16317
24	200	15863
25	203	15433
26	205	15037
27	208	14669
28	211	14345
29	213	14018
30	216	13732
31	219	13470
32	221	13206
33	223	12933
34	225	12679
35	228	12445
36	230	12221
37	232	12010
38	234	11806
39	236	11604
40	239	11421
41	241	11242
42	243	11078
43	245	10909
44	247	10750
45	249	10598
46	251	10463
47	253	10326
48	256	10196
49	258	10070
50	260	9947
51	262	9828
52	264	9721
53	266	9610
54	268	9503
55	270	9401
56	273	9306
57	275	9213
58	277	9124
59	279	9028
60	281	8941
61	283	8854
62	285	8775
63	287	8699
64	289	8630
65	291	8554
66	294	8483
67	296	8412
68	298	8347
69	300	8280
70	302	8221
71	305	8171
72	307	8118
73	309	8059
74	311	8004
75	313	7946
76	316	7893
77	318	7839
78	320	7788
79	322	7735
80	324	7686
81	326	7638
82	328	7592
83	330	7548
84	333	7502
85	335	7459
86	337	7418
87	339	7374
88	341	7337
89	344	7316
90	347	7284
91	349	7258
92	352	7232
93	355	7201
94	358	7179
95	360	7148
96	363	7124
97	365	7095
98	368	7070
99	370	7047
100	373	7019
101	376	6996
102	378	6965
103	380	6939
104	382	6910
105	385	6884
106	387	6857
107	390	6833
108	392	6804
109	394	6783
110	397	6761
111	399	6738
112	402	6716
113	404	6695
114	407	6671
115	409	6651
116	411	6626
117	414	6605
118	416	6584
119	418	6560
120	420	6537
121	423	6520
122	425	6500
123	428	6480
124	430	6463
125	433	6440
126	435	6419
127	437	6400
128	440	6386
129	442	6365
130	444	6344
131	446	6319
132	448	6297
133	450	6277
134	453	6262
135	455	6244
136	457	6227
137	460	6207
138	462	6188
139	464	6168
140	466	6149
141	468	6130
142	470	6111
143	472	6093
144	474	6076
145	477	6057
146	479	6040
147	481	6021
148	483	6005
149	485	5989
150	487	5973
151	489	5955
152	492	5941
153	494	5925
154	496	5907
155	498	5890
156	500	5875
157	502	5863
158	505	5850
159	507	5837
160	509	5823
161	511	5807
162	514	5795
163	516	5783
