iter	Logloss
0	0.6916810608
1	0.6902409363
2	0.6888180542
3	0.687313385
4	0.6859729767
5	0.6848256683
6	0.6835623169
7	0.6825658417
8	0.6819319916
9	0.6804961395
10	0.6794441986
11	0.6780131531
12	0.6771096802
13	0.6762962341
14	0.6754423523
15	0.6741542053
16	0.6730018616
17	0.6719233704
18	0.6711203003
19	0.6703167725
20	0.6691955566
21	0.6684255981
22	0.6671949005
23	0.6659828186
24	0.6647660828
25	0.6635568237
26	0.6626313782
27	0.6617512512
28	0.660848999
29	0.6598191833
30	0.659044342
31	0.6579911804
32	0.6571743011
33	0.6565032959
34	0.6555351257
35	0.6547447205
36	0.6537619019
37	0.6531390381
38	0.6522279358
39	0.6513197327
40	0.6504396057
41	0.6493693542
42	0.6486088562
43	0.647274704
44	0.6467040253
45	0.6459085083
46	0.6450804901
47	0.6442163086
48	0.6430284882
49	0.6423352051
50	0.6414485168
51	0.6406116486
52	0.6396918869
53	0.6390531158
54	0.6381941986
55	0.637479248
56	0.6368013763
57	0.636078186
58	0.6356277466
59	0.6346541214
60	0.633807373
61	0.6332669067
62	0.6326552963
63	0.6317881012
64	0.6309787369
65	0.6303795624
66	0.6297877502
67	0.6292532349
68	0.6284709167
69	0.6274177933
70	0.6265882874
71	0.6257714462
72	0.6253352356
73	0.6245709229
74	0.6237630463
75	0.6228671265
76	0.6217212677
77	0.6209899521
78	0.6205007553
79	0.6198763275
80	0.6191093826
81	0.6182054138
82	0.6173497009
83	0.6166150665
84	0.6157778931
85	0.6148328018
86	0.6142756653
87	0.6135323715
88	0.612779541
89	0.6122102356
90	0.6115048599
91	0.610562973
92	0.6098872757
93	0.6094065094
94	0.6083010864
95	0.6075005341
96	0.6063067627
97	0.6056674957
98	0.6050128937
99	0.6040292358
100	0.6031039429
101	0.602212677
102	0.6012802887
103	0.6006398773
104	0.5998444748
105	0.5988922882
106	0.5982987213
107	0.5978672028
108	0.5971600342
109	0.5966122055
110	0.5958496094
111	0.5954821777
112	0.5944860077
113	0.5938274384
114	0.593311882
115	0.592775116
116	0.5919508362
117	0.5914380264
118	0.590749588
119	0.5901408386
120	0.5897212601
121	0.5892928696
122	0.5883522034
123	0.5877153015
124	0.5871024704
125	0.5867339706
126	0.5860203934
127	0.5856937408
128	0.5850120926
129	0.5841782379
130	0.5837775421
131	0.5832128525
132	0.5828442383
133	0.5824472809
134	0.5815740204
135	0.5808151245
136	0.5805134201
137	0.5796905518
138	0.5791760254
139	0.5784767151
140	0.5777548599
141	0.5771620941
142	0.5763936996
143	0.5756089783
144	0.5749425507
145	0.5742590332
146	0.5737814331
147	0.5731014252
148	0.572598877
149	0.5717120361
150	0.5711931229
151	0.5706377029
152	0.5699736404
153	0.5694823456
154	0.5688018036
155	0.5681744766
156	0.5675392151
157	0.5671623611
158	0.5664471436
159	0.5657628632
160	0.565401001
161	0.5651520157
162	0.5643693542
163	0.5637726593
164	0.5631383514
165	0.5627399445
166	0.5620972061
167	0.5617300797
168	0.5612278748
169	0.5607698059
170	0.5602508545
171	0.5597246552
172	0.5592513275
173	0.5586005402
174	0.5581475067
175	0.5576024628
176	0.5572501755
177	0.5569645691
178	0.5564753723
179	0.5560345459
180	0.5553720093
181	0.5549925613
182	0.5540971375
183	0.5535770798
184	0.5529343414
185	0.5522338104
186	0.5519110107
187	0.5511637878
188	0.5507617188
189	0.5502919006
190	0.5500204086
191	0.5495554352
192	0.5491065598
193	0.5487205505
194	0.5481355286
195	0.5474927139
196	0.5472396088
197	0.546943512
198	0.5465908051
199	0.5461329651
200	0.5455506897
201	0.5451698303
202	0.544665451
203	0.5441952515
204	0.5436310959
205	0.5432357788
206	0.5427574921
207	0.5422167969
208	0.5419641113
209	0.541412468
210	0.5410694122
211	0.5404865646
212	0.5400835037
213	0.5395969391
214	0.5390029907
215	0.5384506989
216	0.5381603241
217	0.5377589417
218	0.5372140884
219	0.5364918518
220	0.536033287
221	0.5356085205
222	0.5349902344
223	0.5343995667
224	0.5339791107
225	0.5335035706
226	0.5332254028
227	0.5328109741
228	0.5327333832
229	0.5323165894
230	0.5320954895
231	0.5314794922
232	0.5308460236
233	0.5304511261
234	0.5300764847
235	0.5297701263
236	0.5294906998
237	0.5290234375
238	0.5283842087
239	0.5277436066
240	0.5272818756
241	0.5270256042
242	0.526713829
243	0.5261211395
244	0.5255444717
245	0.525305748
246	0.5248900604
247	0.524084816
248	0.5235028458
249	0.5230086899
250	0.5226140213
251	0.5221562195
252	0.521816864
253	0.5216136932
254	0.5214010239
255	0.5208293915
256	0.5204923248
257	0.5198974609
258	0.5194802475
259	0.5190793991
260	0.5185636902
261	0.5181427383
262	0.5177722931
263	0.5173051071
264	0.5169654846
265	0.5166624832
266	0.5163290787
267	0.5158348083
268	0.5154837036
269	0.5150641632
270	0.5147692871
271	0.5145405579
272	0.513916626
273	0.5133321381
274	0.5130310059
275	0.512863121
276	0.5122646713
277	0.5118244934
278	0.5111585617
279	0.5108668518
280	0.5102214432
281	0.509822998
282	0.5091250229
283	0.5088893127
284	0.5086044693
285	0.5079489136
286	0.5075710678
287	0.5073825836
288	0.5069925308
289	0.5066905212
290	0.506439209
291	0.5061160278
292	0.5057881927
293	0.5054833984
294	0.5052310562
295	0.5050016785
296	0.5043654633
297	0.5040938187
298	0.5037223053
299	0.5035304642
300	0.5031122971
301	0.5026897049
302	0.5024888229
303	0.501758194
304	0.5014441681
305	0.5009584045
306	0.5005685806
307	0.5003270721
308	0.4998546219
309	0.4992630768
310	0.4988274384
311	0.4984928894
312	0.4980204773
313	0.4976519012
314	0.4972027969
315	0.4966892624
316	0.496309967
317	0.495769043
318	0.4955217361
319	0.4952748108
320	0.4949100494
321	0.4946609116
322	0.494042511
323	0.493707695
324	0.4931749725
325	0.49279953
326	0.4923911285
327	0.4921757126
328	0.4916616821
329	0.4912483215
330	0.4908164215
331	0.4904927063
332	0.4899729156
333	0.4895111084
334	0.4890570068
335	0.4885097504
336	0.4883011246
337	0.4878139114
338	0.4875462723
339	0.4873313141
340	0.4870423508
341	0.4865488052
342	0.4863452911
343	0.4860726547
344	0.4853942871
345	0.4850537109
346	0.4847641754
347	0.4843044281
348	0.4840270996
349	0.4836466599
350	0.483122406
351	0.4825605011
352	0.4821264648
353	0.4817290115
354	0.4813409424
355	0.4808676147
356	0.4803830338
357	0.4801031113
358	0.4795735168
359	0.4791887665
360	0.4788839722
361	0.4786523437
362	0.4782318878
363	0.4777849579
364	0.477569046
365	0.4773756409
366	0.4768840027
367	0.476381073
368	0.4761303711
369	0.4756173325
370	0.475306778
371	0.4751890182
372	0.4747105026
373	0.4742810822
374	0.4738444519
375	0.4736031342
376	0.4731969833
377	0.4727020264
378	0.4724539948
379	0.4722122192
380	0.4719231033
381	0.4716043854
382	0.4712393951
383	0.4709987259
384	0.4704537964
385	0.4702155685
386	0.4700568008
387	0.4697210693
388	0.469301033
389	0.4690126038
390	0.468613739
391	0.4681782532
392	0.4678424835
393	0.467525177
394	0.4673501205
395	0.4672497559
396	0.4670452881
397	0.4667309189
398	0.4664920425
399	0.4661852264
400	0.4655745316
401	0.4653192139
402	0.4651026154
403	0.4648146057
404	0.4646557236
405	0.464221344
406	0.4638642883
407	0.4635475159
408	0.4631277466
409	0.4630202484
410	0.4627354813
411	0.4622888565
412	0.4619861603
413	0.461524353
414	0.4613547134
415	0.4609877777
416	0.4605985641
417	0.4604958725
418	0.4602329254
419	0.4600258255
420	0.4596936035
421	0.4592498779
422	0.4588066483
423	0.4583081055
424	0.4578358841
425	0.4572703171
426	0.4568523407
427	0.4564506531
428	0.4562238693
429	0.4558655548
430	0.4557349396
431	0.455135231
432	0.4546091461
433	0.4543526077
434	0.4539198303
435	0.4537349701
436	0.4534292221
437	0.453143158
438	0.4527110291
439	0.4525462341
440	0.4522541428
441	0.4521181488
442	0.4517677307
443	0.4512496185
444	0.4511900711
445	0.4506884003
446	0.4502955246
447	0.4500886536
448	0.4498534012
449	0.4496445084
450	0.4493911362
451	0.4489711761
452	0.4486871719
453	0.4482249069
454	0.4481357956
455	0.4479007721
456	0.4475102234
457	0.4473053741
458	0.4469294739
459	0.4466550446
460	0.4463901901
461	0.446198349
462	0.4458794022
463	0.4455914307
464	0.4453419495
465	0.4450020218
466	0.4447588348
467	0.4442401886
468	0.4438329315
469	0.4432868958
470	0.442996521
471	0.4425840759
472	0.442298584
473	0.4420058441
474	0.4417181778
475	0.4414729309
476	0.441055603
477	0.4406802368
478	0.440308075
479	0.4401125336
480	0.4399141693
481	0.439667511
482	0.4394464874
483	0.4392771149
484	0.4388946533
485	0.4385704041
486	0.4383534622
487	0.4380164337
488	0.4376056671
489	0.4372966003
490	0.4367251587
491	0.4364457703
492	0.4362203217
493	0.4357033539
494	0.4354711151
495	0.4351597977
496	0.4349169159
497	0.4346141815
498	0.4342333221
499	0.4338951874
500	0.4336349106
501	0.433221817
502	0.4329888916
503	0.4327990341
504	0.4324314117
505	0.4321437073
506	0.4319854736
507	0.4316577911
508	0.4313828278
509	0.4310754395
510	0.4306272507
511	0.4301099396
512	0.4298173523
513	0.4295820999
514	0.4292968369
515	0.4285874939
516	0.4283981323
517	0.4277532578
518	0.4274350739
519	0.4272124481
520	0.426910553
521	0.4266900635
522	0.4264105225
523	0.4261677933
524	0.4260487366
525	0.4258135223
526	0.4254125214
527	0.4252872849
528	0.4251086044
529	0.4249034119
530	0.4245350647
531	0.4240840912
532	0.4238973618
533	0.4236207581
534	0.42343647
535	0.4229685974
536	0.4227674866
537	0.4225640869
538	0.422424202
539	0.4220544434
540	0.421740303
541	0.4214383698
542	0.4212101746
543	0.4210923004
544	0.4207798004
545	0.4205982208
546	0.4204470825
547	0.4201833344
548	0.4200366974
549	0.4198186493
550	0.4195324707
551	0.4192463303
552	0.4187162781
553	0.4184716797
554	0.4181884003
555	0.4178683472
556	0.4176399612
557	0.4174969864
558	0.4169949341
559	0.4167972946
560	0.4166640472
561	0.4162730408
562	0.4159295654
563	0.4158311081
564	0.4155672073
565	0.4154168701
566	0.4152407837
567	0.4146614075
568	0.414447403
569	0.4139712524
570	0.4138084793
571	0.4134934998
572	0.4131925201
573	0.4130108643
574	0.4128123474
575	0.4123728561
576	0.4121735001
577	0.4119278717
578	0.411727829
579	0.4115699005
580	0.4112866211
581	0.411158371
582	0.4110232544
583	0.4108924103
584	0.4104567719
585	0.4101086044
586	0.4098769379
587	0.4096628571
588	0.409388237
589	0.4092506409
590	0.4089293671
591	0.4086408615
592	0.408347702
593	0.4080810547
594	0.4076945496
595	0.407189064
596	0.4068068695
597	0.4066397095
598	0.4064787292
599	0.4060789108
600	0.4056288147
601	0.405270462
602	0.4051410675
603	0.4048603821
604	0.4047031403
605	0.4045946884
606	0.4042123413
607	0.4037527466
608	0.4035121918
609	0.4033550262
610	0.4032291794
611	0.4030462265
612	0.4027613068
613	0.4025646591
614	0.4023038864
615	0.4020739746
616	0.4019863892
617	0.4018416595
618	0.4013974762
619	0.4009929657
620	0.4007476807
621	0.400459671
622	0.4001886749
623	0.3998843765
624	0.3997980499
625	0.3994384003
626	0.3991524506
627	0.3988026047
628	0.39852211
629	0.3982987595
630	0.3980508041
631	0.3978655624
632	0.3975958633
633	0.397281189
634	0.3970963287
635	0.3967492294
636	0.3964744186
637	0.3962531281
638	0.3957749176
639	0.3954655457
640	0.3951796341
641	0.3949796295
642	0.3945664215
643	0.3942370605
644	0.3939871216
645	0.3936878204
646	0.3934262085
647	0.3930929184
648	0.3927371216
649	0.3925666046
650	0.3922887421
651	0.3920227051
652	0.3917673492
653	0.391424942
654	0.3911458969
655	0.3909815216
656	0.3906778336
657	0.390303421
658	0.3900487518
659	0.3897097397
660	0.3892678833
661	0.3890504837
662	0.3889393616
663	0.3885366058
664	0.3883004379
665	0.3881535721
666	0.3879204559
667	0.3877936554
668	0.387664299
669	0.3874789429
670	0.387283783
671	0.3868228531
672	0.3865713501
673	0.3862851715
674	0.3858895111
675	0.385569458
676	0.3853156281
677	0.3850798035
678	0.3849230194
679	0.3848562622
680	0.3844812012
681	0.3838541794
682	0.3833634186
683	0.3830857849
684	0.3828728485
685	0.3827684021
686	0.3825466537
687	0.3822045135
688	0.3820302963
689	0.3813845062
690	0.381219635
691	0.3810926056
692	0.3809648895
693	0.3808100891
694	0.3806333923
695	0.3802531433
696	0.3799246216
697	0.3797137833
698	0.3795128632
699	0.3792179871
700	0.3790312958
701	0.3785367584
702	0.3784573364
703	0.3781848907
704	0.3780554962
705	0.3778525162
706	0.377458725
707	0.377309761
708	0.377002449
709	0.3768004608
710	0.376603241
711	0.376448822
712	0.376159668
713	0.3758914948
714	0.3756856155
715	0.3755825043
716	0.375318718
717	0.3749753952
718	0.3747516632
719	0.3746844482
720	0.3744619751
721	0.3742105865
722	0.3739212036
723	0.373609314
724	0.373270874
725	0.372837677
726	0.3726335907
727	0.3720847702
728	0.3719132233
729	0.3714170074
730	0.3710028839
731	0.370542984
732	0.3701932144
733	0.3699806976
734	0.369744339
735	0.3694688034
736	0.3692181396
737	0.3688834763
738	0.3686566162
739	0.3683685684
740	0.3680519104
741	0.3677371216
742	0.3674534988
743	0.3671829605
744	0.3670528412
745	0.3668206787
746	0.3665923309
747	0.3664022064
748	0.3660391235
749	0.3655987549
750	0.3653497314
751	0.3651869965
752	0.3648347473
753	0.3645728302
754	0.3642640305
755	0.3641642761
756	0.3637588501
757	0.3633364487
758	0.3630929184
759	0.36286129
760	0.3624637985
761	0.3620566559
762	0.3618570709
763	0.3617068481
764	0.3613714981
765	0.3610192871
766	0.3608779144
767	0.3604793549
768	0.360250473
769	0.3600454712
770	0.3596826935
771	0.359391098
772	0.3591275406
773	0.3588184357
774	0.3587126923
775	0.3583801651
776	0.358054657
777	0.3578173447
778	0.3572839355
779	0.3570168686
780	0.3567694855
781	0.3565925598
782	0.356303215
783	0.3561820602
784	0.3559994125
785	0.3556958389
786	0.3554724121
787	0.3550623322
788	0.3548038864
789	0.3545578384
790	0.3543747711
791	0.3541231537
792	0.3539087296
793	0.3536113358
794	0.3534202194
795	0.3533273315
796	0.3531343079
797	0.3528761292
798	0.3527451324
799	0.3521826553
800	0.3518115234
801	0.3514559174
802	0.3509021759
803	0.3507920456
804	0.3505199432
805	0.3502481842
806	0.3500025558
807	0.3497868729
808	0.3492747498
809	0.349058609
810	0.348769989
811	0.3486331177
812	0.3482892609
813	0.3480760956
814	0.3478811646
815	0.3477202225
816	0.3475588989
817	0.3474482727
818	0.347234726
819	0.3469974518
820	0.3468727112
821	0.3467696762
822	0.346580658
823	0.3462303543
824	0.3459350204
825	0.3454446793
826	0.3452706909
827	0.3451218414
828	0.344881897
829	0.3446709824
830	0.3444717407
831	0.344098587
832	0.3440277863
833	0.3436543655
834	0.3432302094
835	0.343013916
836	0.3427997589
837	0.3425975037
838	0.3423999405
839	0.3421916962
840	0.3418659592
841	0.3416333008
842	0.3414997101
843	0.341233902
844	0.3409935379
845	0.3407197952
846	0.3404894638
847	0.3400875473
848	0.3397546768
849	0.3394960785
850	0.3390667725
851	0.3389381027
852	0.3386745834
853	0.3383076859
854	0.3381136322
855	0.3377845001
856	0.3376634216
857	0.3374996948
858	0.337346344
859	0.3369091797
860	0.33671772
861	0.3362899017
862	0.3361436844
863	0.3359501266
864	0.3356864548
865	0.3352391815
866	0.3349014282
867	0.3348160172
868	0.3344979095
869	0.3342718887
870	0.3341418457
